0,12,22,1.010944115,2016/9/17 11:21,R
1,0,23,0.807658425,2017/7/23 5:43,R
2,12,26,1.331125511,2018/4/28 19:05,G
3,13,27,0.503600663,2011/10/12 0:13,R
4,19,28,0.387754963,2009/7/20 6:35,R
5,10,25,0.369921255,2015/6/16 1:42,G
6,7,23,0.50797186,2018/2/28 22:12,C
7,11,25,0.358850113,2019/6/7 1:39,S
8,7,21,2.011097819,2019/11/10 14:09,S
9,0,24,0.271446485,2014/5/6 20:52,S
10,3,24,0.316694284,2014/4/4 3:38,S
11,16,25,0.541165963,2009/1/5 18:05,C
12,17,23,0.3878746,2010/11/18 18:32,R
13,6,21,0.100255937,2012/7/1 23:45,R
14,13,28,1.628352279,2017/3/17 20:02,S
15,2,27,0.081224891,2009/10/1 9:34,R
16,19,24,2.092698354,2020/6/27 4:03,S
17,19,23,2.021275126,2016/8/5 19:03,T
18,6,20,0.712347593,2015/5/26 12:57,C
19,1,29,1.370727648,2010/2/3 3:52,G
20,9,21,1.373505824,2019/10/16 14:37,T
21,5,23,0.266735295,2020/6/24 13:24,C
22,12,21,1.510009249,2016/4/27 11:44,C
23,4,24,0.552916814,2010/11/24 3:35,R
24,11,23,1.038483502,2010/2/19 9:57,G
25,14,26,2.409860371,2014/9/6 8:36,C
26,4,27,1.373920298,2012/10/4 8:55,R
27,19,20,1.092426887,2011/12/5 1:27,T
28,18,29,0.767368471,2011/8/20 19:43,C
29,4,25,0.500211184,2013/1/13 19:40,S
30,0,22,0.540295455,2016/5/29 9:25,S
31,4,23,0.833664014,2015/1/1 1:47,T
32,4,21,0.427187893,2011/10/7 12:37,T
33,13,20,0.53165808,2012/8/23 3:30,S
34,6,23,0.358001556,2009/3/18 19:51,G
35,19,26,0.308252624,2010/8/29 9:16,C
36,17,28,1.429644992,2013/11/14 15:06,T
37,8,24,0.176759566,2020/4/28 18:08,S
38,3,28,0.9152931,2015/5/12 20:54,T
39,12,21,0.668822101,2014/9/20 5:02,R
40,17,24,1.033066592,2012/9/29 13:38,R
41,10,29,0.667291462,2018/2/23 7:15,C
42,16,20,0.480745129,2017/5/1 4:28,T
43,18,20,0.191947928,2019/10/11 19:15,C
44,1,23,2.069212292,2012/2/12 6:30,R
45,5,28,0.612595849,2012/3/23 12:25,S
46,9,27,0.943365046,2019/3/22 8:08,C
47,15,28,0.932355524,2020/9/28 21:36,R
48,10,27,2.548919891,2018/4/27 4:58,C
49,15,29,0.511120416,2009/6/24 8:11,T
50,0,27,1.419207962,2012/12/30 13:45,S
51,9,20,0.017180604,2011/7/24 23:56,S
52,1,21,0.794949233,2015/12/10 15:03,T
53,17,27,0.207898961,2020/9/28 11:43,C
54,15,26,2.182294385,2020/7/16 18:55,S
55,4,26,0.997242066,2018/4/5 13:06,C
56,3,22,0.414632008,2012/7/12 3:24,C
57,16,25,0.354566311,2013/7/3 16:54,S
58,5,22,0.178164794,2017/12/20 12:30,T
59,13,22,0.31404079,2009/9/25 4:31,R
60,3,20,1.417697042,2020/12/7 15:11,C
61,13,20,0.564090335,2013/12/20 16:18,S
62,0,29,0.772250122,2018/4/4 23:06,C
63,17,23,0.30428407,2020/3/30 11:41,S
64,9,24,0.811090817,2017/7/26 16:48,T
65,17,27,0.0578665,2014/2/3 13:48,R
66,11,27,0.614783143,2009/7/27 8:19,C
67,4,28,0.74615496,2011/11/4 23:54,G
68,8,27,1.608760922,2020/3/12 11:37,R
69,17,22,0.994225731,2020/4/1 10:52,T
70,10,29,2.004609796,2012/8/21 4:58,T
71,3,24,0.673242066,2010/12/2 12:55,G
72,17,24,0.650190709,2015/7/31 8:12,R
73,3,25,0.132989232,2012/1/26 22:54,G
74,17,29,0.688224553,2020/5/15 15:33,G
75,1,21,0.771054223,2020/10/18 3:46,C
76,14,21,1.02972878,2017/4/28 9:47,T
77,4,24,1.622938859,2017/7/27 20:30,R
78,2,20,0.677570305,2012/11/28 1:12,C
79,2,20,0.386062442,2018/2/1 20:50,G
80,15,22,0.814038571,2010/4/9 14:44,S
81,17,24,1.094500774,2010/6/14 11:46,T
82,17,24,0.085014601,2019/5/27 20:12,S
83,9,27,0.615989836,2012/10/10 5:57,R
84,14,28,0.421628586,2015/9/23 12:40,R
85,14,25,1.084524443,2020/6/22 1:36,S
86,10,22,0.727269265,2010/1/13 5:32,G
87,16,24,0.548204363,2015/3/16 1:54,R
88,16,25,1.188494689,2009/11/28 11:44,G
89,19,21,0.259285319,2020/5/14 17:46,S
90,12,26,1.306603904,2017/11/23 10:38,T
91,0,24,0.190218367,2015/5/15 8:45,T
92,8,21,0.991240552,2018/6/13 2:47,S
93,9,28,0.54864295,2016/10/2 10:19,R
94,16,27,1.209043404,2013/1/12 21:51,S
95,15,28,1.062063919,2012/4/25 4:52,G
96,2,22,0.332876871,2014/8/14 5:04,S
97,16,23,1.122977811,2014/1/27 4:41,T
98,3,25,1.480078079,2009/7/25 11:12,G
99,14,29,1.627802116,2012/11/3 9:17,S
100,1,28,0.552601697,2019/9/24 21:28,C
101,19,29,0.874763322,2017/10/20 22:14,C
102,18,21,0.728070413,2019/11/22 10:40,R
103,0,24,1.701156025,2012/4/23 19:47,R
104,8,20,0.825232963,2010/7/24 0:06,R
105,18,21,1.152057168,2020/7/9 2:25,R
106,19,20,0.292276795,2011/1/4 17:16,C
107,13,21,0.718216805,2019/9/7 10:59,T
108,4,24,1.412315841,2010/8/3 18:54,G
109,7,28,0.97091703,2014/8/20 7:00,G
110,17,22,0.184508266,2014/1/16 15:19,C
111,5,28,0.291992439,2013/6/26 11:09,G
112,13,21,0.740683086,2017/6/28 17:54,G
113,11,25,1.591410199,2011/3/13 22:28,R
114,7,23,1.689818661,2016/12/2 18:59,R
115,6,22,0.82077726,2014/9/1 15:18,G
116,1,24,0.868230615,2013/5/19 13:22,C
117,10,23,0.731820053,2020/3/23 4:29,C
118,14,22,0.310415892,2013/5/3 12:32,C
119,19,20,1.329252434,2020/6/10 18:55,C
120,18,20,1.049535025,2017/11/28 7:32,S
121,12,27,1.032513952,2010/10/31 18:25,C
122,12,24,0.76514936,2010/10/22 2:18,S
123,7,21,0.314398743,2019/7/27 21:12,G
124,0,27,0.101711716,2014/12/18 15:17,T
125,3,29,1.425208425,2014/1/18 2:39,S
126,0,27,0.067563614,2020/8/25 22:26,C
127,9,28,0.801907063,2014/5/30 17:15,T
128,8,28,0.201727469,2013/7/17 15:01,R
129,10,26,1.152315141,2010/1/28 19:20,C
130,4,29,0.862155032,2015/11/8 2:56,S
131,2,26,0.033262357,2011/10/17 17:37,G
132,15,21,0.222758092,2009/9/23 15:45,T
133,16,29,0.012672296,2018/11/30 0:23,R
134,9,25,1.274671228,2015/2/10 15:02,R
135,7,28,0.072877823,2018/7/26 0:38,G
136,18,20,0.577774704,2013/9/29 11:42,G
137,19,23,0.524690956,2014/8/18 1:51,C
138,9,22,0.530589851,2013/9/15 6:24,T
139,3,28,1.076193549,2015/5/22 12:11,C
140,4,22,1.027302595,2019/1/16 15:38,S
141,14,25,1.818808926,2014/11/8 2:10,T
142,10,22,0.188301046,2016/12/11 0:00,R
143,19,25,2.190238473,2015/3/21 11:28,G
144,7,25,1.292945753,2015/12/5 18:05,R
145,14,29,1.221737118,2009/9/24 2:52,T
146,19,26,0.606281183,2012/10/1 3:29,S
147,5,24,0.223060183,2010/9/27 15:02,C
148,7,21,0.591683453,2011/7/30 7:08,S
149,2,23,0.745862231,2016/3/4 7:09,G
150,12,24,0.790610514,2016/4/20 21:50,S
151,18,26,0.212290978,2016/10/6 1:39,T
152,19,20,0.638783159,2013/10/14 23:46,S
153,14,23,0.084616272,2013/12/17 8:50,S
154,12,23,1.899286908,2010/4/14 20:01,R
155,10,26,0.495815158,2020/2/19 16:24,T
156,18,27,1.019619258,2018/10/8 22:10,T
157,9,21,0.163801143,2009/12/30 6:38,T
158,8,25,1.242186352,2013/3/30 22:36,C
159,0,24,1.269804987,2009/9/1 13:50,G
160,0,24,0.685986417,2016/12/28 8:18,G
161,0,26,1.651096806,2017/1/21 19:26,C
162,10,25,0.565312529,2016/3/23 2:39,C
163,16,20,0.120208106,2014/5/16 2:29,G
164,3,27,0.517285585,2018/1/5 23:22,T
165,5,21,0.8482444,2018/7/9 20:48,C
166,3,22,0.900220592,2020/5/2 15:25,S
167,12,22,1.452370567,2013/9/10 20:47,C
168,13,21,0.200172472,2012/12/30 13:30,R
